TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME
2024-04-19 19:55:00,269.9900,270.1000,269.9900,270.1000,12
2024-04-19 19:50:00,269.6900,269.7000,269.6900,269.7000,8
2024-04-19 19:35:00,268.9300,269.6900,268.9300,269.6900,5
2024-04-19 19:10:00,270.7500,270.7500,270.7500,270.7500,1
2024-04-19 19:05:00,268.9800,268.9800,268.9300,268.9300,2
2024-04-19 18:20:00,268.7000,268.9500,268.7000,268.9300,49
2024-04-19 18:15:00,270.2500,270.2500,266.1000,266.1000,63
2024-04-19 18:10:00,268.9500,270.4100,268.9500,270.4100,112
2024-04-19 18:05:00,268.9000,269.9600,268.9000,268.9500,24
2024-04-19 18:00:00,269.0100,269.0100,268.9500,268.9500,18
2024-04-19 17:55:00,268.9600,268.9600,268.9600,268.9600,5
2024-04-19 17:50:00,268.9600,309.9100,268.9000,268.9000,35
2024-04-19 17:30:00,268.9500,268.9500,268.9500,268.9500,1
2024-04-19 17:25:00,266.0000,266.0000,266.0000,266.0000,2
2024-04-19 17:20:00,269.5000,269.8500,269.5000,269.8400,14
2024-04-19 17:10:00,269.5000,269.5000,269.5000,269.5000,1
2024-04-19 17:05:00,269.9200,269.9200,269.9200,269.9200,3
2024-04-19 16:55:00,269.3400,269.3400,269.3400,269.3400,1
2024-04-19 16:50:00,268.9300,268.9300,268.9300,268.9300,4582
2024-04-19 16:45:00,269.2000,269.2000,269.2000,269.2000,17
2024-04-19 16:40:00,269.2100,269.2100,268.9600,268.9600,95
2024-04-19 16:30:00,269.4000,269.4000,269.4000,269.4000,5
2024-04-19 16:25:00,269.1000,269.2500,269.1000,269.2500,23
2024-04-19 16:20:00,271.7000,271.7000,268.0010,268.0010,80
2024-04-19 16:15:00,268.7000,269.5200,268.7000,269.5200,1482
2024-04-19 16:10:00,268.7000,268.7000,268.1900,268.2000,75
2024-04-19 16:05:00,268.9300,271.0000,267.9500,268.9300,4446
2024-04-19 16:00:00,269.0900,271.0000,268.8300,268.9300,1256353
2024-04-19 15:55:00,268.8100,269.1400,268.2500,268.9400,405551
2024-04-19 15:50:00,269.0600,269.3800,268.7700,268.9500,116079
2024-04-19 15:45:00,268.7600,269.3000,268.3800,269.1680,114357
2024-04-19 15:40:00,268.9000,269.0700,268.5200,268.7600,94725
2024-04-19 15:35:00,269.1450,269.3330,268.7150,268.8500,46536
2024-04-19 15:30:00,268.9200,269.2100,268.8700,269.0900,67913
