TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME
2024-04-19 19:55:00,146.8200,146.9100,146.8100,146.9000,25498
2024-04-19 19:50:00,146.7700,146.8500,146.7200,146.8300,17093
2024-04-19 19:45:00,146.9100,146.9300,146.7500,146.8000,19065
2024-04-19 19:40:00,146.9400,146.9500,146.9000,146.9200,7491
2024-04-19 19:35:00,146.9000,146.9900,146.8800,146.9300,9775
2024-04-19 19:30:00,146.9000,146.9600,146.8800,146.8950,5824
2024-04-19 19:25:00,146.9000,146.9900,146.8300,146.9400,9719
2024-04-19 19:20:00,146.8300,146.9100,146.8100,146.9100,9431
2024-04-19 19:15:00,146.7900,146.8500,146.7100,146.8500,5843
2024-04-19 19:10:00,146.7350,146.8000,146.7200,146.7900,7186
2024-04-19 19:05:00,146.7500,146.7500,146.7000,146.7400,3551
2024-04-19 19:00:00,146.7500,146.7800,146.7000,146.7500,4272
2024-04-19 18:55:00,146.7900,147.0500,146.7000,146.7800,5453
2024-04-19 18:50:00,146.7400,146.8000,146.7000,146.7800,10332
2024-04-19 18:45:00,146.7300,146.7900,146.6800,146.7200,7391
2024-04-19 18:40:00,146.6900,146.7300,146.6600,146.7050,5519
2024-04-19 18:35:00,146.7400,146.7500,146.6600,146.6900,5595
2024-04-19 18:30:00,146.8000,146.8200,146.7000,146.7000,4198
2024-04-19 18:25:00,146.8500,146.8500,146.7600,146.8000,6130
2024-04-19 18:20:00,146.8400,146.8700,146.8000,146.8500,7958
2024-04-19 18:15:00,146.8600,146.9000,146.8200,146.8400,3259
2024-04-19 18:10:00,146.8100,146.9000,146.8000,146.8750,10036
2024-04-19 18:05:00,146.8200,146.9100,146.8000,146.8250,6036
2024-04-19 18:00:00,146.7900,146.9400,146.7400,146.8200,9728
2024-04-19 17:55:00,146.8000,146.8000,146.6900,146.7900,7220
2024-04-19 17:50:00,146.7500,146.8100,146.6200,146.7500,16168
2024-04-19 17:45:00,146.7900,146.8000,146.6500,146.7700,18392
2024-04-19 17:40:00,146.8800,146.8900,146.7600,146.7900,18637
2024-04-19 17:35:00,146.8650,196.8900,146.8600,146.8650,7072
2024-04-19 17:30:00,146.9600,146.9600,146.8400,146.8700,13377
2024-04-19 17:25:00,146.9700,147.0000,146.9200,146.9400,10773
2024-04-19 17:20:00,146.9900,147.0450,146.9700,147.0000,15337
2024-04-19 17:15:00,147.0400,147.0900,146.9800,146.9900,34925
2024-04-19 17:10:00,147.0000,152.1030,137.0920,147.0500,18843
2024-04-19 17:05:00,147.0300,147.0400,146.9700,147.0000,11285
2024-04-19 17:00:00,146.9900,147.0500,146.9600,147.0300,15897
2024-04-19 16:55:00,146.9700,147.0500,146.9500,146.9800,18613
2024-04-19 16:50:00,146.9500,147.0500,146.9200,147.0000,583911
2024-04-19 16:45:00,146.9500,146.9900,146.9200,146.9800,26161
2024-04-19 16:40:00,146.9100,146.9700,146.8200,146.9550,18558
2024-04-19 16:35:00,146.9300,146.9300,146.8000,146.9000,15913
2024-04-19 16:30:00,146.9400,147.0500,146.8600,146.9100,16142
2024-04-19 16:25:00,146.8400,146.9800,146.8100,146.8900,20731
2024-04-19 16:20:00,146.9400,148.6400,146.8300,146.8300,35975
2024-04-19 16:15:00,146.8800,147.0500,146.8500,146.9500,67375
2024-04-19 16:10:00,146.9900,147.0500,146.8200,146.8800,40356
2024-04-19 16:05:00,146.9900,147.0500,146.7200,146.9600,103129
2024-04-19 16:00:00,147.0100,147.2700,146.8400,146.9900,6037298
2024-04-19 15:55:00,147.1300,147.1900,146.8600,147.0100,2009522
2024-04-19 15:50:00,146.4000,147.2300,146.3300,147.1260,1304616
2024-04-19 15:45:00,146.5300,146.6400,146.2200,146.4180,1329750
2024-04-19 15:40:00,146.6100,146.6800,146.3100,146.5280,1386367
2024-04-19 15:35:00,146.9300,146.9900,146.5400,146.6100,974012
2024-04-19 15:30:00,147.2000,147.2470,146.8800,146.9160,815501
2024-04-19 15:25:00,147.0900,147.4000,147.0500,147.2150,628084
2024-04-19 15:20:00,147.0500,147.1870,146.9200,147.0800,563333
2024-04-19 15:15:00,147.2300,147.2450,146.9000,147.0400,615372
2024-04-19 15:10:00,146.9200,147.4500,146.9200,147.2300,542926
2024-04-19 15:05:00,147.2200,147.2800,146.7600,146.9400,794940
2024-04-19 15:00:00,147.2100,147.3800,147.0470,147.2200,611892
2024-04-19 14:55:00,147.2700,147.3290,147.0000,147.2300,600091
2024-04-19 14:50:00,147.0200,147.5500,146.7800,147.2600,981996
2024-04-19 14:45:00,147.2400,147.4410,146.6400,147.0350,1457216
2024-04-19 14:40:00,147.3950,147.4500,147.1600,147.1900,866525
2024-04-19 14:35:00,147.7750,147.7860,147.3300,147.4000,827841
2024-04-19 14:30:00,147.7100,147.9900,147.5900,147.7600,740184
2024-04-19 14:25:00,148.1500,148.1600,147.6600,147.7100,892565
